oldSev1
0x133_ISR_nt!DpxEndpointWrappedCall
0x133_ISR_nt!KiTimerExpiration
Agent_Enter_Faulted_Restart_Agent_RehydrationFailed_C1530029
Agent_Enter_Faulted_Restart_Agent_RehydrationFailed_C35201FB
Agent_Enter_Faulted_Restart_Agent_RehydrationFailed_C3560201
Agent_Enter_Faulted_Restart_Agent_VMPhuFailed_0
ContainerFaultCode_10005_NSRaised_RetriesFailed_CreateContainer_0x800700b7_VMAL_CONTAINER_PARTIALLY_REHYDRATED_The__DiskAbstractionLayer::VhdBuilder::BuildVhd_FAILED
ContainerFaultCode_10005_NSRaised_RetriesFailed_CreateContainer_0x8007045d_ERROR_DISK_MISSING_A__DiskAbstractionLayer::DiskPreparer::IsDiskMissing_FAILED
ContainerFaultCode_10005_NSRaised_RetriesFailed_CreateContainer_0x8007045d_HRESULT_FROM_WIN32(ERROR_IO_DEVICE)___VmAbstractionLayer::DalDllClient::CreateCacheFromMfnd_FAILED
ContainerFaultCode_10005_NSRaised_RetriesFailed_CreateContainer_0x8007045d_HRESULT_FROM_WIN32(ERROR_IO_DEVICE)___VmAbstractionLayer::DiskMountStrategyMfnd::UpdateDiskSettings_FAILED
ContainerFaultCode_10005_NSRaised_RetriesFailed_CreateContainer_0x85000789____Vmgs::VtpmProvider::RefreshVtpmBlob_FAILED
ContainerFaultCode_10005_NSRaised_RetriesFailed_CreateContainer_0x8abc0301_E_CREATEBACKINGSTORE___DiskAbstractionLayer::VhdBuilder::BuildVhd_FAILED
ContainerFaultCode_10005_NSRaised_RetriesFailed_CreateContainer_0xc1530027_E_NOSURFACE___DiskAbstractionLayer::BlobCache::BlobCacheLoggerCallback_FAILED
ContainerFaultCode_10005_NSRaised_RetriesFailed_CreateContainer_0xc1530027_ERROR_DISK_MISSING_A__DiskAbstractionLayer::DiskPreparer::IsDiskMissing_FAILED
